category,item,quantity,material_or_spec,fabrication_or_source,notes
wood structure,6 mm plywood sheets,4,"1220 x 2440 mm void-free birch preferred",local hardware or sheet supplier,"Ribs skins webs covers and prototypes; confirm nesting before purchase"
wood structure,12 mm plywood sheets,2,"1220 x 2440 mm void-free birch preferred",local hardware or sheet supplier,"Joint cheeks feet pelvis and high-load gussets"
wood structure,hardwood dowel assortment,1 set,"6 8 10 and 12 mm",local hardware,"Registration low-load pivots and assembly fixtures only"
wood structure,replaceable joint and gusset set,1 robot set,"Laser-cut from 12 mm plywood",laser cutter,"Use repeated hole pattern and retain spare high-wear plates"
wood structure,rubber sole and contact sheet,1 sheet,"3 to 6 mm non-marking high-friction rubber",local supplier,"Feet gripper pads and payload cradle"
actuation,lower-body smart geared actuator,12,"Encoder current and temperature telemetry; appropriate high-torque class",off-the-shelf,"Six axes per leg: hip 3 knee 1 ankle 2"
actuation,arm smart geared actuator,12,"Encoder current and temperature telemetry; mixed medium/high-torque classes",off-the-shelf,"Six axes per arm: shoulder 3 elbow 1 wrist 2"
actuation,waist smart geared actuator,3,"Encoder current and temperature telemetry",off-the-shelf,"Pitch roll and yaw"
actuation,neck smart geared actuator,2,"Compact low-mass telemetry actuator",off-the-shelf,"Yaw and pitch"
actuation,gripper geared actuator,2,"One tendon actuator per adaptive hand",off-the-shelf,"Underactuated three-finger grip"
transmission,high-strength low-stretch tendon line,50 m,"2 to 4 mm UHMWPE class line",off-the-shelf,"Final diameter requires load and bend-radius testing"
transmission,tendon capstans and pulleys,40,"Laser-cut laminated wood or purchased polymer pulley",laser-cut or off-the-shelf,"Use purchased bearings at high-cycle pulleys"
transmission,shoulder counterbalance assemblies,2,"Extension or constant-force spring with guarded cable",off-the-shelf,"Reduces continuous shoulder torque"
transmission,leg counterbalance assemblies,4,"Springs for knee and hip pitch assistance",off-the-shelf,"Tune after measured link masses"
joints,standard smooth shafts or shoulder bolts,31,"Standard metric diameters; no custom machining",off-the-shelf,"One primary axis shaft per controlled joint"
joints,flanged or radial bearings,62,"Two per controlled axis; standardized sizes",off-the-shelf,"Polymer bushings may replace bearings only after cycle testing"
joints,metric fastener assortment,1 robot set,"M4 M5 M6 and M8 bolts washers locknuts threaded inserts",off-the-shelf,"Standardize aggressively for field replacement"
sensing,absolute joint position sensing,31,"Integrated in actuator or independent encoder",off-the-shelf,"Independent sensing preferred on safety-critical leg axes"
sensing,foot force sensors,8,"Four sensing zones per foot",off-the-shelf,"Prototype load cells or force-sensitive elements"
sensing,inertial measurement unit,2,"6-axis or 9-axis IMU",off-the-shelf,"Torso and pelvis"
sensing,depth camera,2,"Front head and torso or rear coverage",off-the-shelf,"Perception is not the independent safety channel"
sensing,lidar or proximity safety sensor,1,"Indoor short-range coverage",off-the-shelf,"Selection depends on operating design domain"
control,real-time motor controller,2,"MCU with watchdog and isolated CAN or RS-485",off-the-shelf,"Separate upper and lower body buses"
control,local brain computer,1,"Linux SBC with selected perception/model capability",off-the-shelf,"Not in stabilizing feedback loop"
control,isolated bus interface and hub,4,"Matches actuator family",off-the-shelf,"Segment buses to contain faults and limit wiring"
power,battery pack with BMS,1,"Voltage and capacity determined after actuator duty-cycle test",off-the-shelf certified pack,"Mount low in pelvis or backpack close to center of mass"
power,power distribution and branch protection,1 set,"Fuses breakers contactor precharge and DC-DC conversion",off-the-shelf,"One protected branch per actuator group"
safety,latching emergency-stop circuit,1,"Dual-channel preferred with independent drive enable removal",off-the-shelf,"Mount mushroom button on fixed upper-back crossmember at shoulder height; reachable from rear and either side; clear of arms shell tether and backpack; language software cannot reset it"
safety,fall-arrest harness and overhead tether,1,"Rated system selected by qualified safety professional",off-the-shelf,"Mandatory for standing stairs and ladder development"
safety,hold-to-run commissioning pendant,1,"Physical deadman and reduced-speed mode",off-the-shelf,"Required during first motion and maintenance"
wiring,power and signal wiring set,1,"Flexible robot cable connectors strain relief braid and grounding",off-the-shelf,"Size wire after measured current"
compute,telemetry storage,1,"Durable local logging with synchronized timestamps",off-the-shelf,"Record commands joint state safety state and configuration hash"
